EM-Emb,IR-LS,IR-sLS,IR-MAP
0.630158927924687,0.924822203478148,0.924822203478148,0.924822203478148
0.55166495466258,0.931437150497644,0.924887141485935,0.92810645606229
0.817729036123828,0.935943837089573,0.929843543482359,0.935943837089573
0.757100805029385,0.938986159368685,0.938986159368685,0.942997127329111
0.52929184438053,0.935943837089573,0.935943837089573,0.939119592765562
0.447671923587384,0.928083771533704,0.928083771533704,0.928083771533704
0.6358098952571,0.926027559766938,0.92543040525828,0.931670230855865
0.826424666834159,0.910313054259174,0.910313054259174,0.906971185637462
0.532111713537726,0.934835596743696,0.934835596743696,0.934835596743696
0.613946051959305,0.93095372747275,0.93095372747275,0.93095372747275
0.494653254343707,0.912288527997756,0.912288527997756,0.915320419907306
0.919840634981129,0.941904334976027,0.939176327964409,0.941904334976027
0.75800056278766,0.934939636224708,0.934939636224708,0.931461751359393
0.633728663302426,0.902246308516455,0.908354095551013,0.905718952677848
0.686938141781957,0.926027559766938,0.926027559766938,0.926027559766938
0.73570991202769,0.934939636224708,0.934939636224708,0.931461751359393
0.712077367299242,0.90031577846889,0.903237250719966,0.903237250719966
0.588265986604146,0.931437150497644,0.931437150497644,0.931437150497644
0.753909678990647,0.918512251867391,0.918512251867391,0.918512251867391
0.806190309447058,0.9131171882006,0.90689167191218,0.9131171882006
