"","A-SC","IR-MAP(1)","IR_LS"
"1",0.564098151827787,1,1
"2",0.452704545342264,0.581801258159225,1
"3",0.535148111190066,0.982478852034073,1
"4",0.465078549316248,0.822660631802231,1
"5",0.515878860588786,0.689593529512232,0.99370873110733
"6",0.477654413336522,0.982478852034073,1
"7",0.485484042866219,0.941363139968027,1
"8",0.61016472452987,1,0.993708226147407
"9",0.539109154315608,0.973155058288582,1
"10",0.449708846200365,0.549938903127342,1
"11",0.500563348800873,0.875424763912093,0.993705207558611
"12",0.522824827780551,0.993705207558612,1
"13",0.42993406149698,0.742876628153559,1
"14",0.423362201803779,0.84899455963741,0.993705207558612
"15",0.524824215097208,0.975924836797482,1
"16",0.676327106105786,1,1
"17",0.472935309962497,0.9464051486061,1
"18",0.469972621820381,0.83239441643935,1
"19",0.581780822199104,0.984115526903827,1
"20",0.535619316108128,0.540316807818866,0.99370873110733
"21",0.600697864229445,0.977912079536797,1
"22",0.489436242017581,0.962263843192625,1
"23",0.509488737706179,0.669410259965088,1
"24",0.466991716944018,0.934159206659646,1
"25",0.535429222095596,0.993705207558612,1
"26",0.393584878695779,0.536866150009634,1
"27",0.541732489134745,0.60414294477144,1
"28",0.440964949017614,0.879404728571744,1
"29",0.578027629295924,0.978001384244136,1
"30",0.542402340705423,0.971615042458119,0.99370873110733
"31",0.464660605688468,0.810552326672243,1
"32",0.562987468448392,1,1
"33",0.483342200071567,0.977938477392732,1
"34",0.445187926904281,0.831892069519899,0.993708226147407
"35",0.552244450853046,0.988684694735347,0.982401188213146
"36",0.493671908601922,0.910992084966957,0.993708226147407
"37",0.541121694260695,0.981204723112902,1
"38",0.670729056799218,1,1
"39",0.561360122710918,0.99370873110733,1
"40",0.664107820260099,1,1
