Sponge,Sponge_sym,sIR-SBM,IR-SSBM,IR-SSBM2,eta
0.966747985168303,0.9999748540665838,0.9999496970716161,0.9999496970716161,0.9999496970716161,0.0
0.9502735781719454,0.9943793926767819,0.9998994273609823,0.9998239950941852,0.9998239950941852,0.00862
0.9306454501522738,0.9879476049925617,0.9998491133516652,0.9997988270294217,0.9997988270294217,0.01724
0.9052231854919999,0.9795380634206943,0.9993965474901323,0.9994217100409465,0.9993965641075302,0.02586
0.8746865789841379,0.9711224001504124,0.9983457478995508,0.9984914545311708,0.9984914378945653,0.03448
0.8469538602856392,0.9603817537625033,0.9976468915278213,0.9976719765270629,0.9976468416632643,0.0431
0.801829451737835,0.9472083810621145,0.9959979298830561,0.9955455079583405,0.9955455246562683,0.05172
0.7500596265182459,0.9311588553409195,0.9940775845425387,0.9943742621992294,0.9944496781644829,0.06034
0.6886231877996862,0.9090790091820452,0.9899619021864539,0.9899420550187635,0.9899820861501848,0.06897
0.6229810823412889,0.8863896149431513,0.9836644307808117,0.983208392988414,0.9829102407674737,0.07759
0.5623484221403723,0.8644322426589511,0.9756706350897886,0.975601452619878,0.975544798284211,0.08621
0.473762123876624,0.83176015452851,0.9612989465225799,0.960275855401344,0.9602958615577808,0.09483
0.4184606264449619,0.789252013450245,0.9418816902334413,0.9402636595718585,0.9404165213221193,0.10345
0.34553606146889504,0.7493062905977121,0.9159201984275475,0.9151780389986337,0.9153041102918731,0.11207
0.2799291938992841,0.6937178840012155,0.8731549955009614,0.8708099187483139,0.8707784802806241,0.12069
0.22205533283553916,0.6347663867649899,0.8184004939977056,0.816243841662376,0.8162260728450571,0.12931
0.16994440466025057,0.5577851617783866,0.7325393466826069,0.7281771307626708,0.7279641336714093,0.13793
0.12867998249131013,0.46970850540279596,0.6192390135905724,0.6162638975569809,0.6163721500949697,0.14655
0.09871953777821676,0.37193776603400125,0.4766291775944268,0.47355423802846885,0.47385200519800624,0.15517
0.07838126550290835,0.29045225302191796,0.35133365162939345,0.34768376248765587,0.3476593794146546,0.16379
0.06585048819706972,0.22398452377248815,0.251643713268606,0.24623301277076837,0.24588057158971116,0.17241
0.05401635072690745,0.1456676416168881,0.14189948213024636,0.13804783957495367,0.13797369710059226,0.18103
0.04603182627535154,0.1020007478169183,0.09009325805268699,0.08846985608553563,0.08833587529168072,0.18966
0.041843156423294885,0.07618215982228066,0.062066885552448395,0.060541719335453395,0.06056146041673419,0.19828
0.03610253089630479,0.05614133881171736,0.043276135164467336,0.042155723261093604,0.04214436602057564,0.2069
0.03222444393401234,0.047192046001298886,0.036362952878908,0.03532157139393964,0.03534577252396433,0.21552
0.027059291510867212,0.03700303535787234,0.02900904727536252,0.027823098431763817,0.0277668284003525,0.22414
0.024569863576241715,0.03253304845649966,0.02573545205762335,0.025987573340081997,0.026051336985203864,0.23276
0.022276400677434728,0.029308354338267138,0.023230745993431008,0.022635273361435015,0.022620593192576782,0.24138
0.02021034480224427,0.02498409795708805,0.020215284307763967,0.020006610011880047,0.02003383445878202,0.25
